National Park Name,State,Park-Specific Annual Pass,Per Vehicle,Per Person,Per Motorcycle
Acadia National Park,Maine,$70 ,$35 ,$20 ,$30 
Adams National Historical Park,Massachusetts,$45 ,,$15 ,
Antietam National Battlefield,Maryland,$35 ,$20 ,$10 ,$15 
Arches National Park,Utah,$55 ,$30 ,$15 ,$25 
Assateague Island National Seashore,"Maryland, Virginia",$45 ,$25 ,$15 ,$20 
Badlands National Park,South Dakota,$55 ,$30 ,$15 ,$25 
Bandelier National Monument,New Mexico,$45 ,$25 ,$15 ,$20 
Bent's Old Fort National Historic Site,Colorado,$35 ,,$10 ,
Big Bend National Park,Texas,$55 ,$30 ,$15 ,$25 
Black Canyon of the Gunnison National Park,Colorado,$55 ,$30 ,$15 ,$25 
Bryce Canyon National Park,Utah,$70 ,$35 ,$20 ,$30 
Cabrillo National Monument,California,$35 ,$20 ,$10 ,$15 
Canaveral National Seashore,Florida,$40 ,$20 ,$10 ,$15 
Canyonlands National Park,Utah,$55 ,$30 ,$15 ,$25 
Cape Cod National Seashore,Massachusetts,$60 ,$25 ,$15 ,$20 
Capitol Reef National Park,Utah,$35 ,$20 ,$10 ,$15 
Capulin Volcano National Monument,New Mexico,$35 ,$20 ,$10 ,$15 
Carlsbad Caverns National Park,New Mexico,,,$15 ,
Castillo De San Marcos National Monument,Florida,$45 ,,$15 ,
Cedar Breaks National Monument,Utah,$35 ,,$10 ,
Chaco Culture National Historical Park,New Mexico,,$25 ,$15 ,$20 
Chattahoochee River National Recreation Area,Georgia,$40 ,$5 ,,
Chesapeake & Ohio Canal National Historical Park,"District of Columbia, Maryland, West Virginia",$35 ,$20 ,$10 ,$15 
Chickamauga & Chattanooga National Military Park,"Georgia, Tennessee",$35 ,,$10 ,
Christiansted National Historic Site,Virgin Islands,,,$7 ,
Colonial National Historical Park,Virginia,$45 ,,$15 ,
Colorado National Monument,Colorado,$45 ,$25 ,$15 ,$20 
Crater Lake National Park,Oregon,$55 ,$30 ,$15 ,$25 
Craters of the Moon National Monument and Preserve,Idaho,$35 ,$20 ,$10 ,$15 
Cumberland Island National Seashore,Georgia,$35 ,,$10 ,
Death Valley National Park,"California, Nevada",$55 ,$30 ,$15 ,$25 
Denali National Park & Preserve,Alaska,$45 ,,$15 ,
Devils Tower National Monument,Wyoming,$45 ,$25 ,$15 ,$20 
Dinosaur National Monument,"Colorado, Utah",$45 ,$25 ,$15 ,$20 
Dry Tortugas National Park,Florida,,,$15 ,
Everglades National Park,Florida,$55 ,$30 ,$15 ,$25 
Florissant Fossil Beds National Monument,Colorado,$35 ,,$10 ,
Fort Davis National Historic Site,Texas,$35 ,$20 ,$10 ,$15 
Fort McHenry National Monument & Historic Shrine,Maryland,$45 ,,$15 ,
Fort Pulaski National Monument,Georgia,$35 ,,$10 ,
Fort Smith National Historic Site,"Arkansas, Oklahoma",$35 ,,$10 ,
Fort Sumter and Fort Moultrie National Historical Park,South Carolina,$35 ,,$10 ,
Fort Vancouver National Historic Site,"Oregon, Washington",$35 ,,$10 ,
Glacier National Park,Montana,$70 ,$35 ,$20 ,$30 
Glen Canyon National Recreation Area,"Arizona, Utah",$55 ,$30 ,$15 ,$25 
Golden Spike National Historic Site,Utah,$35 ,$20 ,$10 ,$15 
Grand Canyon National Park,Arizona,$70 ,$35 ,$20 ,$30 
Grand Teton National Park,Wyoming,$70 ,$35 ,$20 ,$30 
Great Falls (George Washington Memorial Parkway),Virginia,$35 ,$20 ,$10 ,$15 
Great Sand Dunes National Park & Preserve,Colorado,$45 ,$25 ,$15 ,$20 
Guadalupe Mountains National Park,Texas,$35 ,,$10 ,
Gulf Islands National Seashore,"Florida, Mississippi",$45 ,$25 ,$15 ,$20 
Haleakal? National Park,Hawaii,$55 ,$30 ,$15 ,$25 
Harpers Ferry National Historical Park,"West Virginia, Virginia, Maryland",$35 ,$20 ,$10 ,$15 
Hawai'i Volcanoes National Park,Hawaii,$55 ,$30 ,$15 ,$25 
Home of Franklin D. Roosevelt National Historic Site,New York,,,$10 ,
Hovenweep National Monument,"Colorado, Utah",$55 ,$20 ,$10 ,$15 
Indiana Dunes National Park,Indiana,$45 ,$25 ,$15 ,$20 
Isle Royale National Park,Michigan,$60 ,,$7 ,
Joshua Tree National Park,California,$55 ,$30 ,$15 ,$25 
Kennesaw Mountain National Battlefield Park,Georgia,$40 ,$5 ,,
Lake Mead National Recreation Area,"Arizona, Nevada",$45 ,$25 ,$15 ,$20 
Lassen Volcanic National Park,California,$55 ,$30 ,$15 ,$25 
Lava Beds National Monument,California,$45 ,$25 ,$15 ,$20 
Lewis & Clark National Historical Park,"Oregon, Washington",$35 ,,$10 ,
Little Bighorn Battlefield National Monument,Montana,$45 ,$25 ,$15 ,$20 
Mesa Verde National Park,Colorado,$55 ,$30 ,$15 ,$25 
Montezuma Castle National Monument,Arizona,$35 ,,$10 ,
Mount Rainier National Park,Washington,$55 ,$30 ,$15 ,$25 
Muir Woods National Monument,California,$45 ,,$15 ,
Natural Bridges National Monument,Utah,$55 ,$20 ,$10 ,$15 
Olympic National Park,Washington,$55 ,$30 ,$15 ,$25 
Organ Pipe Cactus National Monument,Arizona,$45 ,$25 ,$15 ,$20 
Padre Island National Seashore,Texas,$45 ,$25 ,$15 ,$20 
Perry's Victory International Peace Memorial,Ohio,$35 ,,$10 ,
Petrified Forest National Park,Arizona,$45 ,$25 ,$15 ,$20 
Pictured Rocks National Park,Michigan,$30 ,$20 ,$10 ,$15 
Pinnacles National Park,California,$55 ,$30 ,$15 ,$25 
Pipe Spring National Monument,Arizona,,,$10 ,
Prince William Forest Park,Virginia,$35 ,$20 ,$10 ,$15 
Pu'uhonua O H?naunau National Historical Park,Hawaii,$55 ,$20 ,$10 ,$15 
Rocky Mountain National Park,Colorado,$70 ,$35 ,$20 ,$30 
Sagamore Hill National Historic Site,New York,$40 ,,$10 ,
Saguaro National Park,Arizona,$45 ,$25 ,$15 ,$20 
Saint Gaudens National Historic Site,New Hampshire,$40 ,,$10 ,
San Francisco Maritime National Historical Park,California,$45 ,,$15 ,
San Juan National Historic Site,Puerto Rico,$35 ,,$10 ,
Sequoia-Kings Canyon National Parks,California,$60 ,$35 ,$20 ,$30 
Shenandoah National Park,Virginia,$55 ,$30 ,$15 ,$25 
Sleeping Bear Dunes National Lakeshore,Michigan,$45 ,$25 ,$15 ,$20 
Sunset Crater Volcano National Monument,Arizona,$45 ,$25 ,$15 ,$20 
Theodore Roosevelt National Park,North Dakota,$55 ,$30 ,$15 ,$25 
Thomas Edison National Historical Park,New Jersey,$45 ,,$15 ,
Tonto National Monument,Arizona,,,$10 ,
Tumac cori National Monument,Arizona,$35 ,,$10 ,
Tuzigoot National Monument,Arizona,$45 ,,$15 ,
Vanderbilt Mansion National Historic Site,New York,,,$10 ,
Vicksburg National Military Park,"Mississippi, Louisiana",$35 ,$20 ,$10 ,$15 
Walnut Canyon National Monument,Arizona,$45 ,,$15 ,
Whiskeytown National Recreation Area,California,$55 ,$25 ,$15 ,$20 
White Sands National Park,New Mexico,$45 ,$25 ,$15 ,$20 
Wright Brothers National Memorial,North Carolina,$35 ,,$10 ,
Wupatki National Monument,Arizona,$45 ,$25 ,$15 ,$20 
Yellowstone National Park,"Idaho, Montana, Wyoming",$70 ,$35 ,$20 ,$30 
Yosemite National Park,California,$70 ,$35 ,$20 ,$30 
Zion National Park,Utah,$70 ,$35 ,$20 ,$30 
,,,,,
,,,,,
,,,,,
